ID,Name,Purpose,Alpha Acid Low,Alpha Acid High,Beta Acid Low,Beta Acid High,Co-Humulone Low,Co-Humulone High,Country,Storability,Total Oil Composition,Myrcene Oil Low (mL/100g),Myrcene Oil High (mL/100g),Humulene Oil Low,Humulene Oil High,Caryophyllene Oil Low,Caryophyllene Oil High,Farnesene Oil Low,Farnesene Oil High,Linalool Oil Low,Linalool Oil High,Polyphenols Oil Low,Polyphenols Oil High,Substitutes,Style Guide,Also Known As,Characteristics,Description,Flavors
8ec3b4af-613b-45ca-accc-7150d686daa8,Helga,,,,,,,,,,,,,,,,,,,,,,,,,,,"Helga is an Australian cultivar, formerly known as Southern Hallertau. Helga was bred by Hop Products Australia from Hallertau Mittelfrüher in an effort to dissect and retain its Hallertau’s characteristic noble aroma. Helga is easy to work with—no matter at what point she is added into the brew, even when dry hopping, the results are said to be ever pleasant. It is mildly floral and spicy. Helga made a quiet debut, established in 1996 it took nearly 10 years to catch on commercially. Currently, production is being increased as craft brewers take interest.",
3be64a95-66d0-4722-9cb4-a64bb23c6096,Herald,,,,,,,,,,,,,,,,,,,,,,,,,,,"Herald hops were one of a first wave of dwarf hops introduced to the industry. It was released in 1996 alongside sisters Pilgrim and Pioneer. Some brewers were initially reluctant to use Herald despite its clean bitterness and a nice nose of orange and grapefruit. Today Herald is employed by a multitude of craft breweries, particularly in the UK.",
c7f2b6fe-fe47-470e-8aeb-bc9536bf624a,Herkules,,12,17,4,5.5,,,,,1.6 - 2.4,30,50,,,,,,,0.3,0.8,3,4,,,,,"Strong and robust in flavor and aroma, German Herkules lives up to it’s name. The Hüll-bred offspring of Hallertauer Taurus, Herkules is a high alpha acid bittering hop, known to be spicy and floral, tangy and hoppy, with notes of melon, black pepper, with hints of pine. It was released in 2005.","Melissa, Orange, Honeydew Melon, Lemon grass, Peppermint"
76ebf85a-c003-4c73-9f4f-2283027d8eed,Hersbrucker Spät,,1.5,4,2.5,6,,,,,0.5 - 1,15,30,,,,,,,0.5,1,5,6,,,,,German hop Hersbrucker was originally bred with the intention of producing a variety resistant to verticillium wilt that could act as a replacement for Hallertau Mittelfrüh.,"Citrus, Black tea, Melissa, Marjoram"
b053c13f-aa1a-4b4e-9a9a-b806718db560,Hersbrucker E,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hersbrucker E (for England) was planted and grown at Wye College, England in the 1970’s. It is largely identical to the original Hersbrucker variety grown in the Hersbruck Mountains. The storage stability, especially of its soft resins, is low.",
da424221-9148-4f97-a1a2-be4a4982d534,Hersbrucker Pure,,,,,,,,,,,,,,,,,,,,,,,,,,,"The offspring of Hallertauer Mittelfrüh, Saaz and a wild German hop, Hersbrucker Pure was originally tested by brewing giant Anheuser Busch as a replacement for Hersbrucker. After their interest waned in the variety, it failed to catch on as a viable commercial prospect. It has an noble aroma and flavor profile similar to that of its parents.",
ea539755-5b87-4935-9135-5c94fc20504a,Hersbrucker Red-Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hersbrucker Red-Stem is, as I’m sure you guessed, so named due to its red stem. All Hersbruckers have red stems, but in this variety it is even more distinct. It is a clonal offshoot of Hersbrucker, supposedly with a higher alpha acid potential. Hersbrucker clones have declined in production over the years since their introduction in the 1980’s. This is mainly due to the rise of Hallertauer Tradition and Spalter Select, which exhibit much higher alpha percentages.",
a4de659e-416c-499f-9c64-79e7267717a6,Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,"Horizon is a versatile hop with some star qualities. Created in Oregon in 1970, Horizon is a diploid hop and half-sister to Nugget.",
d9b234aa-d3e7-430a-af76-f2077ceae52f,Hüll Melon,,7,8,6,8,,,,,0.8 - 2.1,26,42,,,,,,,0.2,0.3,3,4.6,,,,,"Relatively new on the market, Hüll Melon made its debut in 2012. A daughter of Cascade (US), it has some interesting flavor characteristics not commonly associated with hops. It is noted to be intensely fruity with flavors and aromas of honeydew melon and strawberry.","Wild strawberry, Geranium, Peach iced tea, Aniseed"
8b8c86d7-48f4-429b-af70-5836b1ed365f,Hüller Bitterer,,,,,,,,,,,,,,,,,,,,,,,,,,,"Developed in the late 1960’s and released in 1978, Hüller Bitterer has the distinction of being the first wilt resistant variety to come from the German Hüll hop breeding program. Descended from Northern Brewer, it is an excellent dual-use hop and is still known for its clean bittering character. In commercial use, it has now largely been replaced with other wilt resistant varieties, specifically Perle.",
21639803-2aa3-4797-9b8b-d9f82c2f8413,Hybrid-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hybrid-2 was developed in South Africa in the early 1940’s. Thought to be an open-pollinated seedling of California Cluster, it was discontinued in South Africa in 1964 due to low yields. It is however still produced commercially in Cashmere, India where it shows significantly better yields.",
8fd54dd5-bf45-4a5b-8ad3-d6d703d136d7,Ivanhoe,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ivanhoe is one of the first revivals of California Cluster in more than 50 years. Revived by organic hop farm Hops-Mesiter, LLC near Clearlake, California, it is a European aroma type and has been compared to a more moderate Cascade. It features a lovely, mellow aroma of citrus and pine, but with heady floral and herbal notes.",
5254c99c-fe61-4c3b-9617-38768ef541c0,Janus,,,,,,,,,,,,,,,,,,,,,,,,,,,"Selected at Wye College, England in the 1950’s, Janus was originally praised for its early harvest qualities. Its extremely low yield however led it to being discarded as a commercial prospect in 1992. To date, it has never been used for breeding either. It is a cross between a Eastwell Golding, a New Mexico Wild American hop and other unspecified English hops. Janus exhibits very high myrcene potential and is said to have a pleasant, European aroma.",
0ba4fa9a-7c65-4303-8e19-1eb2e8fca397,Jester®,Aroma,9,,4,6,23,28,UK,,,0.6,1.2,45,50,2,,,,,,,,0.1-0.2%,"Cascade, Challenger",,"Tropical fruit, grapefruit, blackcurrant, hints of lychee","Developed by Charles Faram & Co Ltd in the UK, proprietary hop Jester® brings with it distinct flavors and aroma qualities quite different to that of tradition English hop varieties. These unique characteristics include forward and robust notes of tropical fruits, grapefruit and blackcurrant and even hints of Lychee. It is considered most useful as a mid to late addition but is also fantastic to dry hop with. Though not considered a particularly useful bittering hop, when used in this regard it imparts a mild, herbal resonance.",
a82de641-c4fd-4ee1-881c-574b5e826f80,Keyworth’s Early,Aroma,,,3.3,,33,,UK,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF),,1.39,,45,,22,,7,,,,,,Trace Amounts,Keyworth’s Midseason,OJ47,Lemon and grapefruit notes,"Keyworth’s Early is a venerable old English hop which was, for a while, discontinued from production due to low yield. Raised at Wye College, England in the 1920’s, it was rushed into production on the back of Dr. W. G. Keyworth’s research in the 1940’s after Verticillium wilt became a major problem in parts of Kent. Due to its promising resistance, it gained in popularity for a while but fell out of favor with both brewers and growers.",
54121ff3-cb28-4747-b5b0-58f88512ef4f,Keyworth’s Midseason,,,,,,,,,,,,,,,,,,,,,,,,,,,"Keyworth’s Midseason was produced alongside Keyworth’s Early in the 1940’s for the same desired wilt resistance. A cross between Fuggle and a wild American female, Keyworth’s Midseason proved more popular than Keyworth’s Early and reached a cultivation close to 600 acres in 1954. It is the parent of Density and Defender.",
fabcd6b1-d99e-4f13-b9e8-e05c415bd513,Kazbek,,5,8,4,6,,,,,0.9 - 1.8,40,55,,,,,,,0.3,0.5,3.5,4.5,,,,,,"Raspberry, Peach, Orange, Passion fruit, Chocolate"
b1301796-e759-480b-95d9-5acb7a6712be,Kirin II,,,,,,,,,,,,,,,,,,,,,,,,,,,Kirin II is one of a few Japanese hops to spring up since the Japanese governments decision to reduce the importation of beer hops. The variety is grown domestically and solely under government contract. The variety was developed by Kirin Brewery Co. as a clonal selection from Shinshuwase and as such is directly descended from Saaz and open pollinated White Vine.,
566e3427-2662-4e2f-9ec1-58e545063a7c,Kitamidori,,,,,,,,,,,,,,,,,,,,,,,,,,,"Developed by the Kirin Brewery Company in Tokyo, Japan, Kitamidori is no longer grown commercially there or anywhere else. It was bred alongside Toyomidori and Eastern Gold as a potential super alpha replacement for Kirin II, which was itself a replacement for Shinshuwase hops. It sports an oil composition with remarkable similarities to Saaz.",
f7983d07-5d06-4b29-b65d-6b6d53ea6eab,Kohatu®,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohatu®, meaning stone or rock in Maori, was released alongside Wai-iti in 2011. It was named after Kohatu, a small town nestled by the Motueka River, south west of Nelson, New Zealand. Kohatu is not as fruity as Wai-iti, but with its intense aroma of tropical fruit and freshly crushed pine needles, it adds a wonderfully fresh character to beer. Even with a low alpha, when used as an early addition it features a pleasant, rounded bitterness.",
f05b73ad-e4c2-44c7-be8b-026be382e792,Landhopfen,,,,,,,,,,,,,,,,,,,,,,,,,,,"A low growth rate and yield in addition to a susceptibility to viruses are all reasons why the old German Landhopfen variety is no longer grown commercially. While it’s exact date of creation remains illusive, it has been documented as a variety as far back as 1851. It is said to have good European aroma characteristics and is thought to be a cultivar of an old German land race created via clonal selection.",
8255613a-a50d-4bbd-b84e-7c3ecca2dd86,Legacy®,"Bittering, Aroma",8.4,,,,,,US,,,,,,,,,,,,,,,,"Cluster, Galena, Northern Brewer",,"Notes of blackberry, black currant, orange and grapefruit. Floral and spicy.","Legacy® has been grown in Washington State for over 50 years. Despite this, Hops Direct, LLC registered the variety in 2013 and named it Legacy.",
c057778b-b445-40e5-99c9-f67722e10e8a,Liberty,Aroma,6,,3.5,,24,28,US,Retains 35%-55% alpha acid after 6 months storage at 20ºC (68ºF),Moderate to easy,1.3,,46,,31,,9,12,,,,,1%,"Hallertau, Mount Hood, Tradition",,Noble hop characteristics,"Born in 1983, Liberty is half-sister to Crystal, Ultra and Mt. Hood. It originates from Hallertau Mittelfrüher and a disease resistant German aroma male. Liberty’s yield is low but it still enjoys popularity, especially in the US. It is a genetically sterile variety and not suitable for breeding.",
67799942-2751-4773-8d5c-f3aeb741cea0,Lubelska,,,,,,,,,,,,,,,,,,,,,,,,,,,"Often thought to be a Polish hop, Lubelska actually originates in Zatec, Czechia. Sometimes marketed as Lublin or Lubelski, Lubelska’s high humulene content is trumped only by its rare, high levels of farnesene. This oil profile results in interesting aromas of magnolia and lavender. It is considered to very noble-like in character. Thought to be a landrace cultivar of Saaz, it is now a mainstay of Polish breweries.",
f16a4f95-9ac7-4e70-8adb-abc899eea088,Lubelska-Pulawy,,,,,,,,,,,,,,,,,,,,,,,,,,,"First entering commercial production in 1964, Lubelska-Pulawy is a Polish-grown variety descended from the original Czech hop Lubelska, or Lublin as it is sometimes known. It was grown by the Hop Institute in Pulawy, Poland in an effort to better mold the variety to local conditions and increase alpha potential. It is said to have pleasant European characteristics, unsurprising given its Saaz roots.",
dabbfecf-9fe0-455c-9240-03811d8d30b5,Lublin,,3,4.5,3,4,,,,,0.5 - 1.1,22,29,,,,,,,,,3.7,5.9,,,,,,"Lemon tea, Curry, Dill, Juniper, Floral"
06604820-88e2-4f61-bae7-1b71441b9730,Lucan,,,,,,,,,,,,,,,,,,,,,,,,,,,"Developed at the Hop Research Institute in Zatec, Czechia, and officially registered in 1941, Lucan was created via clonal selection of the Czech Zatecky Krajovy variety. Known as being one of the Czech Rebublic’s oldest varieties, it is also thought likely to be a close relative of Saaz. Noted for its commercially desirable noble aroma qualities and mild bitterness, its yield is marginal in the US, but decent in its native Czechia.",
f74fac00-2cb1-41ae-a428-96f3cdec1b9f,Loral®,,10,12,4.5,5.5,,,,,1.5 - 2.5,37,39,,,,,,,1,1.4,,,,,,,,
481e8a67-8087-4f0f-bd14-aa5033be642e,Marco Polo,,12,13,4.5,5.5,,,,," - ",40,50,,,,,,,,,,,,,,,,"Lemon, Lemon blam, Gooseberry, Oregano, Elderflower"
9c5434e9-e20c-4421-996f-ec2c27f3c29c,Magnat,,11,16,3,7,,,,,1 - 2,30,59,,,,,,,,,,,,,,,,"Citrus, Woody, Camomile blossom, Kitchenherbs, Lemon cake"
1244da2c-a12b-4125-8c8e-1fe7d9971370,Magnum,Bittering,14,,4.5,5.5,24,25,Germany,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.9,2.3,30,35,34,40,8,12,,,,,0%-1%,"Hallertauer Taurus, Columbus, Nugget",Hallertau Magnum,"Clean bitterness, subtle citrus flavors","Magnum is fast becoming a brewing favorite in Europe and towards being one of the most widely grown high alpha varieties in the US. Used predominately as a base bittering hop it features an exceptional growth rate, yield and superlative storage stability and is said to result in squeaky clean bitterness and subtle citrus-like flavors.",
332aea58-6f69-485d-9e00-6256210ceb51,Magnum (US),Bittering,14,,4.5,7,24,30,US,,,1.9,3,,,,,,,,,,,,"Magnum, Horizon, Northdown, Northern Brewer",Yakima Magnum,"Clean bittering, light citrus flavor","Magnum is grown on limited acreage in the US but what is produced has an excellent bittering profile and a nice, hoppy, floral aroma and subtle characters of citrus. Though genetically indistinguishable from the original German Magnum, some subtleties undoubtedly exist through varied growing conditions between the two countries. Both hops however are largely considered to be totally interchangeable.",
36378236-9b5a-4184-a7a9-f1dbc4e6e4a3,Mandarina Bavaria,,7,10,4,7,,,,,1.5 - 2.2,,,,,,,,,,,2.3,2.7,,,,,"Daughter of Cascade (US), Hallertau Blanc and Hüll Melon, Mandarina Bavaria originated in Hüll, Germany and was released to the brewing masses in 2012. It is useful for both flavor and aroma and imparts slightly sweet notes of tangerine and citrus, especially when used for dry hopping.","Pineapple, Lemon, Strawberry, Gooseberry, Cassis"
29147ae4-460a-464a-935e-7d39611e37b7,Marynka,,9,12,10.2,13,,,,,1.8 - 2.2,28,31,,,,,,,,,3.8,4.3,,,,,"Marynka hops are another widely produced Polish hop from the region Lublin. It is moderate in most things: yield, growth, stability, but her flavor profile is way above average. Despite being used primarily for bittering, Marynka features a forward, earthy and herbal flavors and aromas. It is the offspring of Brewer’s Gold and was official registered in 1988.","Hay, Liquorice, Lemon, Grapefruit, Aniseed"
2eb3835d-ff8a-41b2-b81b-ed8400b8161e,Mathon,,,,,,,,,,,,,,,,,,,,,,,,,,,"The pedigree of the Mathon hop is a bit of a mystery. Early writings about hops indicate that both Mathon and Goldings were growing side by side as early as the late 1700’s. Writings today appear to suggest that it may have hailed specifically from Farnham Whitebine or Canterbury Whitebine in much the same way the Goldings varieties did. One this is for sure, it solidly features the pleasant aroma for which most Goldings hops are well known.",
a65a4bc8-7d3b-4200-8cf3-614434d6757c,Melba,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bred by Ellerslie Hop Estate, Melba or “The Dame of Hops” as it is affectionately known, is a dual-use variety with high oil content and similarities to Galaxy. When used as an early addition, it is said to impart a clean and somewhat spicy bitterness. When used as an flavor or aroma addition though, properties of passionfruit, grapefruit and citrus come to the fore.",
d4ac0ca7-821c-4371-8e30-311764b66641,Merkur,,,,,,,,,,,,,,,,,,,,,,,,,,,"Merkur or Hallertau Merkur as it is sometimes known, is a high alpha bittering hop developed at the Hull Hops Research Institute in Germany. It was released in 2000. It’s not all about bittering potential though; Merkur boasts high myrcene and humulene oil content giving it an earthy grounding and citrus zing. It works especially well in the early to mid-stages of brewing. Merkur is a descendant of Magnum.",
e8e6a5b0-c5fb-4e9a-8f67-98b65f70c14e,Millennium,,14.5,16.5,4.3,5.3,,,,,1.8 - 2.2,30,40,,,,,,,,,,,,,,,"Millennium was, unsurprisingly, released in the year 2000. Emanating from the John I. Haas Breeding Program, Millennium hops are directly descended from Nugget and are considered similar in many ways to Columbus. They were born largely out of a desire for greater disease resistance and storage stability. They work well as a bittering agent in American-style ales, Stouts and are considered mild in character with an ability to impart herbaceous notes and elements of resin.","Strawberry, Elderflower, Chocolate, Toffee, Pear"
c94feb3f-ea86-4fa6-9fbf-797c7d5683a7,Monroe,,2.8,2.9,6.5,7.5,,,,," - ",,,,,,,,,,,4.4,4.8,,,,,,"Strawberry, Passion fruit, Cherry, Red currant, Plum"
60dc3318-c67b-4f4a-bd33-9e8473a37a34,Mosaic®,,11.5,13.5,3.2,3.9,,,,,1 - 1.5,47,61,,,,,,,,,,,,,,,"Released in 2012 by the Hop Breeding Company, LLC, Mosaic hops feature complex but clean flavor characteristics and are known for their triple-use profile encompassing bittering, flavor and aroma. They have high alpha acids but low cohumulone which makes them pleasantly hoppy, carrying flavors of mango, pine, citrus and herbs and aromas of tropical and stone fruit. Mosaic is the first daughter of Simcoe and Nugget as has been humorously referred to by some as “Citra on steroids”.","Gooseberry, Pear, Mandarin, Lime, Peach"
2e0d33c8-aac2-49ce-8887-d669b292e8a8,Motueka,"Bittering, Aroma",8.5,,5,5.5,29,,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Moderate to difficult,0.8,,47.7,,3.6,,2,,,,,,12.2%,"Saaz, Saaz (US), Sterling","B Saaz, Belgian Saaz",Tropical fruit and citrus,"Formerly known as Belgian Saaz or B Saaz, Motueka is a premier New Zealand hop. Developed by HortResearch, this triploid was bred from Saaz and an unnamed New Zealand breeding strain and lends itself well to Lagers, Pilsners and Belgian Ales.",
1f0db406-afaf-4db7-9fba-b3d4528ec46d,Mount Hood,Aroma,4,7,5,8,21,23,US,Retains 50%-60% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1,1.7,30,40,12,38,7,16,0.5,0.7,,,0%-1%,"Crystal, Strisselspalter, Hersbrucker","Mt. Hood, Mt Hood",Noble hop aroma,"Released in 1989, Mount Hood is an American-bred cultivar stemming from Hallertau Mittelfrüher. Popular among American craft brewers, it makes a good aroma hop, with characteristics similar to a Hallertau or Hersbrucker and is also half-sister to Crystal, Ultra and Liberty.","Honey, Tarragon, Lemon tea, Lemon cake, Fennel"
6a93fabe-fb29-48a6-9ae4-694e1cf0aa08,Mount Rainier,,,,,,,,,,,,,,,,,,,,,,,,,,,"Like Mount Hood, Mount Rainier is named after one of the many active volcanoes in Washington State. Born out of the USDA-ARS hop breeding program in collaboration with Oregon State University, Mount Rainier is the progeny of Magnum and a USDA male. It has noble, Hallertau-like aroma characteristics alongside notes of citrus and a hint of licorice. It is excellent for both aroma and bittering.",
456ac7bb-d0ae-4707-9964-12fdb85ded7d,MultiHead,,,,,,,,,,,,,,,,,,,,,,,,,,,"MultiHead is a neomexicanus breed native to New Mexico and is so named because of its tendency to produce dual cones. It is a unique hop in the industry and in brewing features a heady, floral aroma and some citrus elements.",
e18df6e1-8325-49b6-acff-90d65fc490d6,Nadwislanska,,,,,,,,,,,,,,,,,,,,,,,,,,,"Likely descended from Czech hops, Polish-grown Nadwislanska is a green-stem variety in stark contrast to Lubelska’s red stem, despite their tandem emergence. It features pleasant, noble aroma characteristics. It was bred disease free but to the disappointment of its developers, its poor yield did not improve. It is no longer grown anywhere commercially.",
e1590a2c-5935-49ae-9c1f-9016707260e9,National,,5,6,,,,,,," - ",,,,,,,,,,,,,,,,,,"Chocolate, Bergamot, Straw, Gerbera, Wild garlic"
3fb92725-aa76-44bb-9576-efc8f5a66ad6,Nelson Sauvin,"Bittering, Aroma",13,,6,8,24,,New Zealand,,,1.1,,22,,36.4,,10.7,,,,,,10.7%,"Pacific Jade, Pacifica",,"Smooth bittering, rich, fruity, gooseberry and white-wine flavors","Nelson Sauvin’s name is derived from the Sauvignon Blanc wine grape to which many agree has similar flavor and aroma characteristics. Developed in New Zealand and released in 2000, it is considered too wild for many major brewers. Despite this, Nelson Sauvin has found significant use among craft breweries and home brewers for its eccentric characteristics.",
7c6dc797-ef1b-4f70-955f-776e94b4ee12,Neo1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neo1 is another neomexicanus breed, this time with a potent lemon-citrus character. Native to New Mexico, it is a true sun-worshipping hop, with quite lively growth when exposed to maximum sunlight. It is also said that Neo1 is naturally pest resistant due to its abundance of limonene and linalool. Noe1 is a sister to Amallia.",
ca174b7f-8497-4e43-9753-b4795bba4905,Neoplanta,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slovenian hop Neoplanta hails from a combination between Northern Brewer, Styrian Golding and a wild Slovenian male. First appearing in the late 1960’s, the variety was bred alongside Vojvodina and Dunav in the hopes of replacing the landrace variety Backa which was suffering from poor yields.",
eebc291a-fb01-4f58-a866-29527c8d22d7,Newport,Bittering,17,,7.2,9.1,36,38,US,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.6,3.6,47,54,9,1,1,7,,,,,0%-1%,"Galena, Nugget",New Port,"Clean bitterness, flavors of wine and balsamic",Newport is the offspring of Magnum and a USDA male variety. Oregon State University and the USDA successfully bred it in 2002 in an effort to address concerns over mildew resistance. It was said to have helped save Northwest US hops production around this time when mildew issues threatened multiple hops varieties.,
55d8faa9-838f-42e3-8be8-ed0f880c908c,Nordgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nordgaard is an old Belgian or Danish landrace that has been used for breeding, particularly in Solvenia in the 1970’s. It’s exact origin is unclear. The result of Spalt crossed with an unknown variety, it is said to impart pleasant continental aroma characteristics and is high in humulene.",
57a9b480-8d5f-42fc-a648-e35cae84915d,Northdown,"Bittering, Aroma",10,,4,5.5,24,32,UK,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.2,2.5,23,29,37,45,13,17,,,,,0%-1%,"Challenger, Admiral",,"Fresh, flowery, piney, berry and spice",Northdown was developed at Wye College in England in the early 1970’s and was initially bred primarily for its resistance to downy mildew. It is the offspring of Northern Brewer and Challenger and an aunt to Target.,
26498082-d07b-44d7-8ca4-0a8cd53cb050,Northern Brewer (GR),Bittering,10,,3.5,5,27,33,Germany,,,1.6,2.1,25,45,35,50,10,20,,,,,< 1%,"Perle, Northern Brewer (US)","Hallertau Northern Brewer, Hallertauer Northern Brewer",,Northern Brewer was originally developed in England in 1934 but is now largely grown in Germany. German-grown Northern Brewer is considered identical to the original UK-bred variety though subtle differences attributable to the different growing region may be evident.,
6ccd6091-e48c-4ae3-9ce9-77382979c6cc,Northern Brewer (UK),"Bittering, Aroma",,,4,,26,,,Retains 77% alpha acid after 6 months storage at 20ºC (68ºF),,1.61,,56,,21,,7.6,,,,,,0.1%,,,Minty and resinous,"Northern Brewer is a well-known dual-use hop developed at Wye College in 1934. Currently, it is being grown in several countries around the world. The original was a cross between East Kent Golding and a Brewer’s Gold male. Today, it is grown mostly in Germany and the US.",
87c0742c-a52c-4ee2-8100-71b61ac502a2,Northern Brewer (US),"Bittering, Aroma",8,10,3,5,20,30,US,Retains 70%-85% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.5,2,50,60,20,30,5,10,,,,,0%-1%,"Northern Brewer, Chinook",,,"Genetically distinct from the original English variety, US Northern Brewer was created as a cross between Northern Brewer and a Native American variety. The result is much better suited to US growing conditions.",
450d9d96-3498-421c-a12a-9dbdd0db6ef6,Nugget,"Bittering, Aroma",9,13,4.2,5.8,22,30,US,Retains 70%-80% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.5,3,48,59,12,22,7,10,0.5,1,3,4,0%-1%,Galena,,"Solid bittering, light flavor, herbal aroma","Nugget’s super alpha acid content, low beta and low cohumulone percentages give it an excellent bittering kick popular in IPAs, Imperials and other super hoppy brews. It’s high myrcene content also results in a green, herbal aroma.","Lemon, Lychee, Geranium, Pineapple"
4c963310-973a-468d-9a9c-ca826681ea6f,Olympic,,,,,,,,,,,,,,,,,,,,,,,,,,,"Olympic has a complex lineage. Though its predominantly genetically derived from Brewer’s Gold (3/4), it also owes its existence to Fuggle, East Kent Golding, a so-called “Bavarian” seedling and a fifth, unknown variety. As a result, Olympic is a spicy and citrus laden hop. It’s grown primarily in Washington State and was released in the mid 1980s. It enjoyed solid growth upon its release reaching around one percent of total US hops production in 1986. However by 1997 this figure had halved.",
ba78b967-bc80-4427-9e22-fd2d89144663,Omega,,,,,,,,,,,,,,,,,,,,,,,,,,,"Omega, despite its pleasant European aroma, decent alpha, storage stability and wilt resistance, exhibited a yield far too low to gain any major foothold commercially. Omega was Dr. R. A. Neve’s swansong before leaving his post in 1984 as head of the Hop Section at the esteemed English horticultural institution, Wye College.",
05199533-77b7-448c-8945-96f4975e3420,Opal,,5,8,3.5,5.5,,,,,0.8 - 1.3,20,45,,,,,,,1,1.5,3,5,,,,,"Developed by the Hull Hops Research Institute in Germany, Opal hops feature a clean aroma and flavor profile of spice and citrus with a hint of sweetness. It was released to the brewing world in 2004 and is considered useful for both aroma and bittering.","Citrus, Bergamot, Apricot, Aniseed, Liquorice"
032331a3-430a-43c4-9d37-a12e35bcbbfd,Orbit,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orbit is a dynamic hop blend consisting of a constantly evolving selection of hops from New Zealand’s ‘Hops with a Difference’ breeding program. The selected hops in Orbit change year to year based on an available crops quality and uniqueness. As such, no specific tasting notes are possible but usage in the past has resulted in flavors and aromas of tropical fruit.",
406c1334-af7c-4a50-bd02-12ca395692cc,Orion,"Bittering, Aroma",9,,4.94,5.73,25,29,Germany,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.8,2.1,41,56,17,26,7,13,,,,,0%-1%,Perle,,,"The German Hop Research Institute in Hüll, Germany developed Orion hops sometime during the 1980s. It is the result of a cross between Perle and a German male.",
b3a627ad-f290-4322-83e9-b9aa3a3b5dac,Outeniqua,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mild, pleasant and slightly spicy, Outeniqua is an excellent, high alpha bittering hop from the land of milk and honey—a moniker of the South African region where it is grown. Primarily used only locally, Outeniqua features a well-balanced oil profile and a strong, punchy, hoppy aroma. Outeniqua is also the mother of high-alpha variety, Southern Star.",
3654f2fa-e6fe-4c16-b44b-89902f9be92e,Pacific Gem,"Bittering, Aroma",16,,7,9,37,40,New Zealand,Retains 70%-80% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.2,1.4,33,55,18,30,7,11,,,,,0%-1%,Fuggle,,Notes of oak and blackberry,"Pacific Gem is a New Zealand hops variety of interesting character. Bred at the New Zealand Horticultural Research Centre as a triploid cross between Smooth Cone, California Late Cluster and Fuggle, it is used around the world in various styles but most notably in European lagers. It was released in 1987.",
e7db0376-10d6-4ae1-8821-8900c1a4da27,Pacific Jade,Aroma,14,,7,8,24,,New Zealand,,,1.4,,33.3,,32.9,,10.2,,,,,,0.3%,Magnum,,Flavors of lemon citrus and cracked pepper,"Released from HortResearch’s New Zealand Hop Research Program in 2004, Pacific Jade started its commercial existence predominately limited to the New Zealand domestic market. Now however, it is finding its way into inventories worldwide.",
e8090cf6-5982-46d9-b8fb-867d6dcc705e,Pacific Sunrise,,,,,,,,,,,,,,,,,,,,,,,,,,,"Released in 2000 by HortResearch in New Zealand, Pacific Sunrise’s take up by commercial breweries has been sluggish. Despite this, it features favorable bittering properties and a pleasant piney aroma. It is the result of a cross between the result of a European and New Zealand male on one side and a California Cluster and a Fuggle on the other.",
4793f2ef-3019-49c1-9ff2-c02cbe86624f,Pacifica,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bred in New Zealand, triploid aroma hop Pacifica, or Pacific Hallertau as it is sometimes known, is the result of open pollination breeding of German hop Hallertauer Mittelfrüher. The hop was released by HortResearch, New Zealand following promising brewing trials in 1994.",
17abc0bd-1922-47b6-a7fe-7cda91dc2bc8,Pahto,,17,20,4.5,6,,,,," - ",48,52,,,,,,,,,,,,,,,,"Earth, Pepper, Plum, Resin"
a55d45d5-e377-4fa7-8b5b-243e18c6cd10,Palisade®,,5.5,9.5,6,8,,,,,1.4 - 1.6,9,10,,,,,,,,,,,,,,,"For brewers, Palisade® hops, bred by Yakima Chief Ranch feature complex floral, herbal and grassy aromas in addition to flavors of nectar fruits and citrus. For growers, it exhibits nothing short of incredible yield potential – at least in its native Yakima Valley, Washington environment. Palisade is an open pollination cross from Swiss Tettnanger.","Apricot, Orange, Passion fruit, Honey, Yoghurt"
