ID,Name,Purpose,Alpha Acid Low (%),Alpha Acid High (%),Beta Acid Low (%),Beta Acid High (%),Co-Humulone Low (%),Co-Humulone High (%),Country,Storability,Total Oil Composition Low (mL/100g),Total Oil Composition High (mL/100g),Myrcene Oil Low (%),Myrcene Oil High (%),Humulene Oil Low (%),Humulene Oil High (%),Caryophyllene Oil Low (%),Caryophyllene Oil High (%),Farnesene Oil Low (%),Farnesene Oil High (%),Linalool Oil Low (%),Linalool Oil High (%),Polyphenols Oil Low (%),Polyphenols Oil High (%),Substitutes,Style Guide,Also Known As,Characteristics,Description
,Tettnanger,"Bittering, Aroma",3,5.8,2.8,5.3,24,,Germany,Retains 61% alpha acid after 6 months storage at 20ºC (68ºF),0.36,1.07,40.6,,20.4,,6.2,,11.3,,,,,,"Saaz, Spalt, Santiam, Spalter Select, Tettnanger (US)","Bitter, California Blonde Ale, Red Ale, Pilsner, Lager, American Amber Ale, Winter Ale, Pale Ale, Wheat Beer, Bavarian Hefeweizen, Cream Ale, American Lager","Tettnang, Tettnang Tettnanger, German Tettnang, Tettnanger (GR), Schwetzinger, Deutscher Frühopfen",Balanced floral and herbal aromas with some spiciness,"Selected from an old German landrace, Tettnanger is grown the world over. Swiss, US and Australian varieties can be found on the market today though some foreign versions labeled “Tettnanger” are actually a hybridized mix with Fuggle and not considered a true Tettnanger hop. Tettnanger is grown around its native village of Tettnang in southwest Germany and in small quantities near lake Konstanz in Switzerland."
,Dr Rudi,"Bittering, Aroma",10,12,7,8.5,36,39,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),1.3,1.6,29,48,22,33,6,10,0,1,,,,,Green Bullet,"Lager, India Pale Ale","SuperAlpha, Super Alpha, Dr Rudi","Grass, pine and citrus flavors","Originally known as SuperAlpha, the variety was renamed to Dr Rudi in 2012. It was bred from New Zealand Smooth Cone and is largely grown in New Zealand. It was originally released in 1976."
,Falconer’s Flight®,"Bittering, Aroma",9.5,12,4,5,20,25,US,,1.6,4.6,,,,,,,,,,,,,"Cascade, Columbus, Centennial","India Pale Ale, Pale Ale, Lager",,"Distinct tropical, floral, lemon and grapefruit attributes","Falconer’s Flight® is a proprietary blend of Pacific Northwest hops. These include 7 “C” hops, Cascade, Centennial, Chinook, Citra®, Cluster, Columbus and Crystal in addition to experimental varieties developed by Hopunion LLC."
,Pacific Gem,"Bittering, Aroma",13,16,7,9,37,40,New Zealand,Retains 70%-80% alpha acid after 6 months storage at 20ºC (68ºF),1.2,1.4,33,55,18,30,7,11,0,1,,,,,Fuggle,"Strong Ale, European Lagers",,Notes of oak and blackberry,"Pacific Gem is a New Zealand hops variety of interesting character. Bred at the New Zealand Horticultural Research Centre as a triploid cross between Smooth Cone, California Late Cluster and Fuggle, it is used around the world in various styles but most notably in European lagers. It was released in 1987."
,Yakima Cluster,Bittering,4.4,9.8,3,6.1,42,,US,Retains 85% alpha acid after 6 months storage at 20ºC (68ºF),0.24,0.9,45,55,18,,6,7,1,,,,,,Chinook,,Late Cluster L-8,,"First grown in the late 1950’s, Yakima Cluster is the daughter of Late Cluster and the granddaughter of Pacific Coast Cluster. It doesn’t appear to be suited to either Idaho or Oregon growing regions in the US but seems to thrive in the drier Yakima Valley."
,Saphir,Aroma,2,4.5,4,7,12,17,Germany,,0.8,1.4,25,40,20,30,9,14,1,,,,,,"Hallertau, Hallertau Tradition, Spalter Select","Pilsner, Lager",Sapphire,Sweet citrus aromas with hints of tangerine,"Released in 2002, Saphir features elements of spice and fruit amid refined citrus notes of tangerine. It is considered well suited to Belgian Whites as well as Pilsners and German Lagers."
,Tettnanger (Swiss),Aroma,4.1,6.3,3.6,5.7,22,,Switzerland,Retains 57% alpha acid after 6 months storage at 20ºC (68ºF),0.42,1.13,,,,,,,,,,,,,"Tettnanger, Fuggle, Saaz, Spalt, Ultra","Lager, Wheat Beer, Pilsner",,Noble aroma,"While it was initially thought to be the same variety as the original German Tettnanger, the Swiss-grown version is now considered to be genetically unique. While the original variety is also known to be cultivated in Switzerland, much of the branded Tettnanger (Swiss) product is actually Fuggle-derived. Despite this, it is higher yielding than its German Tettnanger counterpart and features a similar, noble aroma."
,MultiHead,"Bittering, Aroma",3.5,5.5,5.5,8,45,,US,,0.5,1.5,48,,,,,,,,,,,,,Pale Ale,,"Heady, floral aroma, some sweet fruit and citrus","MultiHead is a neomexicanus breed native to New Mexico and is so named because of its tendency to produce dual cones. It is a unique hop in the industry and in brewing features a heady, floral aroma and some citrus elements."
,Sticklebract,"Bittering, Aroma",13,14.2,7.5,8.5,40,45,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.76,1.72,51,64,8,11,3,6,4,4.6,,,,,Northern Brewer (GR),Extra Special Bitter,,Aromas of pine and citrus,Sticklebract is a dual-use New Zealand variety and another variety bred to stem the issues from Black Root Rot that were present in the country during the mid 20th century. It was selected as a seedling in the 1970’s from open pollinated First Choice.
,Eroica,Bittering,12.3,,4.5,,40,,,Retains 77% alpha acid after 6 months storage at 20ºC (68ºF),0.8,1.3,55,65,0,1,7,13,0,1,,,,,"Bullion, Brewer’s Gold, Galena","Bitter, Pale Ale, Amber Ale, Porter, India Pale Ale",,Sharp fruity essence,"Despite Eroica hops enjoying a high alpha acid percentage, they are, on paper at least, overshadowed by their sister Galena. It appears this comparison is also moving them toward denouement of commercial production along with their cones being considered difficult to harvest and it’s susceptibility to Ringspot and Mosaic virus."
,First Choice,Aroma,4.8,6.7,3.5,6.7,39,,New Zealand,Retains 74% alpha acid after 6 months storage at 20ºC (68ºF),0.51,1.25,71,,1,,1.3,,,,,,,,,,,,"First Choice is a New Zealand variety that was grown commercially for 20 years between the 1960s and the 1980s. It is no longer in commercial production, likely a result of its low alpha content. It was selected by Dr R.H.J. Roborgh at the Riwaka Research Station, much like its parent, California Cluster. It possesses high yield and growth potential but little is known about its flavor and aroma profile."
,Eureka,"Bittering, Aroma",18,19,5,6,27,,,,3.,,43,,29.8,,0.2,,,,,,,,,"Imperial India Pale Ale, India Pale Ale, American Ales, American Red, Saison","EXP #: 05256, Exp Pine Fruit","Falvors of citrus, peach and pine, aromas of stone fruit and mandarin","With similarities to Simcoe® and Summit™ hops, Eureka is a fairly new variety with very strong bittering qualities and a complex and robust flavor and aroma profile. It is said to impart flavors of citrus, resin, tropical and dark fruit along with aromas of grapefruit rind, citrus and tangerine. It is the progeny of varietals Apollo and Merkur."
,Blisk,Aroma,9.7,14.1,3.3,4.8,33,,Slovenia,Retains 45% alpha acid after 6 months storage at 20ºC (68ºF),2.,,58,,12,,3.7,,15.6,,,,,,,"English Ale, Extra Special Bitter, Lager, Pilsner",,,"Dating back to the late 1970’s, Blisk was bred in its native Zalec region of Slovenia, along with Bobek and Buket in an attempt to instil both high alpha content and pleasant aroma in one cultivar. It is a cross between Atlas and a male varietal from the former Yugoslavia. Despite its decent yield, Blisk is not being commercially produced."
,Amallia,"Bittering, Aroma",5.5,9,4.2,8.3,,,US,,,,,,,,,,,,,,,,,"Brown Ale, Dark Ale",,Deep earthy aroma,"Native to New Mexico, Amallia is a neomexicana varietal with a deeply earthy aroma and pronounced flavors of orange citrus. Bold and unique, it is considered well suited to brown or dark ales for both bittering and aroma. This variety was being trialed in Michigan by Michigan State University researchers in 2014."
,Kirin II,"Bittering, Aroma",8,,6.4,,43,45,Japan,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),1.18,,50,,14,,9.4,,0.2,,,,,,,,,,Kirin II is one of a few Japanese hops to spring up since the Japanese governments decision to reduce the importation of beer hops. The variety is grown domestically and solely under government contract. The variety was developed by Kirin Brewery Co. as a clonal selection from Shinshuwase and as such is directly descended from Saaz and open pollinated White Vine.
,Topaz,"Bittering, Aroma",13.7,17.7,6.4,7.9,48,51,Australia,,1.7,2.2,34,56,8,13,7,13,1,,,,,,"Galaxy®, Citra®, Cascade, Riwaka, Rakau, Amarillo®","India Pale Ale, American Pale Ale, Bitter, Amber",,"Light, tropical fruit flavors of lychee, clove-like spice and resinous grassy tones when dry hopped","Australian-born multi-purpose variety Topaz features elements of clove-like spice and a light, lychee-esque fruitiness. Samuel Adams uses it in their Tasman Red IPA. When used alongside a citrus-heavy hop (Samuel Adams used Galaxy®), it gives a surprising depth of flavor."
,Northern Brewer (GR),Bittering,7,10,3.5,5,27,33,Germany,,1.6,2.,25,45,35,50,10,20,1,,,,,,"Perle, Northern Brewer (US)","Steam Beer, German Ale, German Lager","Hallertau Northern Brewer, Hallertauer Northern Brewer",,Northern Brewer was originally developed in England in 1934 but is now largely grown in Germany. German-grown Northern Brewer is considered identical to the original UK-bred variety though subtle differences attributable to the different growing region may be evident.
,Smooth Cone,"Bittering, Aroma",7,9.5,3.4,5.2,31,31,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.38,1.14,55,,21,,6,,0,1,,,,,Cluster,Lager,SmoothCone,,"Smooth Cone is a New Zealand hop variety. It is no longer grown commercially but can still be found. Developed in the 1960’s, the variety was introduced alongside two other Black Root Rot resistant varieties, First Choice and Calicross after the disease savaged New Zealand’s hops industry during the mid 20th century."
,Admiral,Bittering,13,16.2,4.8,6.1,37,45,UK,Retains 85% alpha acid after 6 months storage at 20 degrees C,1,1.7,39,48,23,26,6,7,1.8,2.2,,,,,"Chinook, Northdown, Challenger, Centennial, Cascade (US), Amarillo, Target","Extra Special Bitter, American India Pale Ale, Belgian India Pale Ale, Imperial India Pale Ale, India Pale Ale, Pale Ale, Bitter",,Aggressive but smooth bittering with an orange-citrus and herbal resonance,"Admiral is an excellent mid-season hops variety derived from grandparent Challenger and likely parent, Northdown. Its exact lineage is unclear. Hailing from Wye College, England it was released to the brewing world in 1998 as a potential high-alpha replacement or complimentary addition to Target hops."
,Newport,Bittering,13.5,17,7.2,9.1,36,38,US,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),1.6,3.6,47,54,9,1,1,7,0,1,,,,,"Galena, Nugget","Pale Ale, Amecan Lager",New Port,"Clean bitterness, flavors of wine and balsamic",Newport is the offspring of Magnum and a USDA male variety. Oregon State University and the USDA successfully bred it in 2002 in an effort to address concerns over mildew resistance. It was said to have helped save Northwest US hops production around this time when mildew issues threatened multiple hops varieties.
,Crystal,Aroma,2.8,4.4,5.8,7,21,26,,Retains 65% alpha acid after 6 months storage at 20ºC (68ºF),0.82,,47,,26,,7,,,,,,,,"Liberty, Mount Hood, German Hallertau, Ultra, Strisselspalter, Hersbrucker","Bitter, Pilsner, Light Lager, Golden Ale, Nut Brown Ale, Pale Ale, India Pale Ale, Stout, Chocolate Stout, American Lager",,"Woody, floral and fruity with spice notes of cinnamon, nutmeg and black pepper","Despite a relatively low yield, Crystal’s has made it a fairly popular hop. It’s woodsy, green, floral and fruity with herb and spice notes of cinnamon, nutmeg and black pepper. Extremely versatile, it’s even used for its notable aromatic qualities in IPAs and Bitters despite its low alpha acid content."
,Challenger,"Bittering, Aroma",6.5,9,3.2,4.5,20,25,UK,Retains 70%-85% alpha acid after 6 months storage at 20ºC (68ºF),1,1.7,30,42,25,32,8,10,1,3,,,,,"Perle (US), Northern Brewer, Admiral","Golden Ale, Barley Wine, Imperial Stout",Wye Challenger,,"Released to the public in 1972, Challenger hops were developed at Wye College from varieties Northern Brewer and German Zattler. It accounted for a significant percentage of the hops grown in the UK during the 1980’s and 1990’s."
,Cluster (US),"Bittering, Aroma",5.5,9,4,6,36,42,US,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),0.4,0.8,38,55,15,20,6,10,0,1,,,,,"Eroica, Galena","Barley Wine, Porter, English Pale Ale, Amber Ale, Honey Ale, Cream Ale, American Lager",,"Clean, neutral, slightly floral","Cluster (US) is thought to be one of the oldest and most robust hop crops in the US. With its balanced aroma and bittering profile and outstanding storage stability, it has long been a go to hop of large commercial breweries in the US."
,Herkules,"Bittering, Aroma",12,17,4,5.5,32,38,Germany,,1.4,2.4,30,50,28,45,7,12,1,,,,,,,German Ale,,"Notes of melon, black pepper and pine","Strong and robust in flavor and aroma, German Herkules lives up to it’s name. The Hüll-bred offspring of Hallertauer Taurus, Herkules is a high alpha acid bittering hop, known to be spicy and floral, tangy and hoppy, with notes of melon, black pepper, with hints of pine. It was released in 2005."
,Pride of Kent,"Bittering, Aroma",8,11,6,8,35,,,Retains 42% alpha acid after 6 months storage at 20ºC (68ºF),2.32,,70,,9,,3,,,,,,,,Galena,,,,"Developed in England at Wye College, Pride of Kent features a pleasant continental-type aroma. It was first developed sometime in the early to mid 20th century from open pollinated Brewer’s Gold. Pride of Kent is also the parent of the celebrated Australian variety, Pride of Ringwood."
,Sladek,Aroma,4.5,8,4,7,23,30,Czechia,,1.0,2.,35,50,20,40,9,14,1,,,,,,Saaz,"Lager, Pilsner","Czech Sladek, VUCH 71","Classic hoppy aroma, flavors of peach passionfruit and grapefruit","Sladek, meaning ‘brewer’, is a high yielding aroma variety and cross between Saaz and Northern Brewer. Originally registered as VUCH 71 In 1987, it was renamed to Sladek in 1994. Sladek features a classic hoppy aroma atop a fruity flavor profile with essences of peach, passionfruit and grapefruit."
,Azacca ®,"Bittering, Aroma",14,16,4,5.5,38,45,US,,1.6,2.5,46,55,14,18,8,12,1,,,,,,,India Pale Ale,Azaaca,"Aromas of tropical fruits and citrus. Tasting notes of spicy mango, pineapple, tangerine and pine.","Named after the Haitian god of agriculture, Azacca is one of a new brood of dwarf bittering hops. Descended directly from Toyomidori, its greater parentage also includes Summit™ and Northern Brewer. Bred by the American Dwarf Hop Association, a joint hop breeding venture between Roy Farms, Wyckoff Farms and Green Acres Farms, Azacca is considered by many brewers as being well suited to IPAs."
,Marynka,"Bittering, Aroma",9,12,10.2,13,26,33,Poland,Retains 60%-70%alpha acid after 6 months storage at 20ºC (68ºF),1.8,2.2,28,31,36,33,10,13,1.8,2.2,,,,,Tettnanger,"Bitter, India Pale Ale, Pale Ale, Pilsner",,Earthy and herbal flavors and aromas,"Marynka hops are another widely produced Polish hop from the region Lublin. It is moderate in most things: yield, growth, stability, but her flavor profile is way above average. Despite being used primarily for bittering, Marynka features a forward, earthy and herbal flavors and aromas. It is the offspring of Brewer’s Gold and was official registered in 1988."
,Mosaic ®,"Bittering, Aroma",11.5,13.5,3.2,3.9,24,26,,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),1,1.5,47,53,13,16,5,8,,,,,,,Citra®,"India Pale Ale, Pale Ale",HBC369,,"Released in 2012 by the Hop Breeding Company, LLC, Mosaic hops feature complex but clean flavor characteristics and are known for their triple-use profile encompassing bittering, flavor and aroma. They have high alpha acids but low cohumulone which makes them pleasantly hoppy, carrying flavors of mango, pine, citrus and herbs and aromas of tropical and stone fruit. Mosaic is the first daughter of Simcoe and Nugget as has been humorously referred to by some as “Citra on steroids”."
,Gargoyle,Aroma,7.50,,,,,,US,,,,,,,,,,,,,,,,"California Cluster, Ivanhoe",,,Citrusy-mango aroma,"Gargoyle, along with Ivanhoe, is a new generation of California Cluster and the first to be grown commercially in over half a century. Revived by organic hop farm Hops-Mesiter, LLC near Clearlake, California, it is similar to Ivanhoe but tends more toward a citrusy-mango bouquet."
,Eastern Gold,Bittering,11,14,5,6,27,,Japan,Retains 81% alpha acid after 6 months storage at 20ºC (68ºF),1.43,,42,,19,,7,8,3,,,,,,Brewer’s Gold,,,,"Eastern Gold is a Super Alpha variety developed in Japan by Kirin Brewing Co. Ltd Hops Research from Kirin No. 2 and OB79, an open-pollinated wild American hop. Despite its yield potential, high alpha acids and storage stability, it seems it is not currently being grown in any significant commercial capacity."
,Early Bird,Aroma,4.4,6.7,1.9,2.8,26,32,UK,,0.8,,,,,,,,,,,,,,"East Kent Golding, Cobb, Bramling Cross",India Pale Ale,Amos’s Early Bird,"Pleasing, delicate aroma","Early Bird, or Amos’s Early Bird as it was formerly known, is a Goldings variety and considered one of England’s premier aroma hops. While not terribly disease and wilt tolerant, it is bred for its immensely pleasing aroma and gentle hoppiness."
,Janus,Aroma,5.1,,2.3,,32,,UK,Retains 68% alpha acid after 6 months storage at 20ºC (68ºF),0.58,,40,,34,,10.9,,,,,,,,,,,Pleasing European aroma,"Selected at Wye College, England in the 1950’s, Janus was originally praised for its early harvest qualities. Its extremely low yield however led it to being discarded as a commercial prospect in 1992. To date, it has never been used for breeding either. It is a cross between a Eastwell Golding, a New Mexico Wild American hop and other unspecified English hops. Janus exhibits very high myrcene potential and is said to have a pleasant, European aroma."
,Fuggle Tetraploid,"Bittering, a Aroma",5,,2.4,,26,,,Retains 69% alpha acid after 6 months storage at 20 degrees C,0.93,,49,,24,,20.2,,3.9,,,,,,,,,,"Fuggle Tetraploid is both an aroma and a bittering hop, and the female parent of both Columbia and Willamette. It is one of the descendants of the original English Fuggle hops."
,Universal,"Bittering, Aroma",5.2,,3.7,,23,,Czechia,,,,,,,,,,,,,,,,Hallertau,,,Noble aromas and mild bitterness,"Universal was bred in Czechia, but as of 1991 is no longer listed as a commercial variety. It is however still being produced in the US and has since become a darling of the craft brewing industry."
,Brewer’s Gold (US),Bittering,8.1,13.1,3.7,6.8,41,,US,Poor,1.8,,40,,35,,35,,,,,,,,"Bullion, Cascade, Galena, Northern Brewer, Northdown",India Pale Ale,,,"Sister to Bullion, US-grown Brewer’s Gold is a cultivar of the original English variety, Brewer’s Gold. Despite having been developed in England, its origin is undoubtedly North American having been initially derived from a wild hop sourced from Canada’s Pembina Valley in Manitoba. The American version is naturally similar to the original but contains higher alpha acids on average."
,Bianca,Aroma,7,8,3.4,,20,28,US,,0.6,1.,30,,25,,8,,13,,,,,,Sunbeam,"Lager, Pilsner, Belgian Ale","Bianco, Bianca Gold",,"Bianca (a.k.a. Bianco and Bianca Gold), with its lemon yellow color and red-brown to pink contrasting stem, is bred strictly as an ornamental hop. It must be grown in semi-shaded areas as its light leaves are subject to leaf burn in the sun. While not bred for commercial use, it is said that the cones can be used for flavoring if a Saazer-style aroma and taste is desired. Sunbeam, Bianca’s half-sister has similar characteristics."
,Hallertauer Tradition,Aroma,4.6,7,4,5,23,29,Germany,Retains 65%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.9,1.9,20,25,40,55,10,15,0,1,,,,,Retains 65%-70% alpha acid after 6 months storage at 20ºC (68ºF),American Lager,"Tradition, German Tradition, H Tradition","Earthy, grassy, aromas of nectar fruits","Hallertau Tradition is a Hüll-bred fine aroma hop originating from Hallertau Mittelfrüher, Hallertauer Gold and Saaz. Bred specifically for fungus and disease resistance, it succeeded in that effort and also features higher alpha acids than its parent varieties, low cohumulone and higher myrcene. It was released for commercial production in 1989."
,Saaz (US),Aroma,3,4.5,3,4.5,24,28,US,Retains 45%-55% alpha acid after 6 months storage at 20ºC (68ºF),0.5,,25,37,23,40,7,11,9,13,,,,,"Saaz, Hallertau, Tettnanger, Lubelska, Sterling","Lager, Pilsner","US Saaz, American Saaz","Mild, earthy, spicy, herbal","Despite exhibiting a low yield, Saaz (US) is a popular commercial aroma variety and is used in many US beers today. Bred from the original centuries-old Czech Saaz variety, it carries the same noble qualities but with some subtle differences. Its flavor and aroma profile is mild, earthen and spicy and its alpha is slightly higher than its Czech twin. Saaz (US) is primarily used in Lagers and Pilsners."
,Vital,"Bittering, Aroma",14,17,8,11,,,Czechia,,,,,,,,,,,,,,,,,,,Spicy hop aroma,"Vital is a new hop variety out of the Zatec breeding program in Czechia. Both high alpha and beta acid content gives it a spicy hop aroma. To date, Vital has been used successfully in single-hopped pale ales though it was originally bred for pharmaceutical and biomedical purposes with its increased levels of xanthohumol – a potent antioxidant."
,Cashmere,"Bittering, Aroma",7.7,9.1,3.3,7.1,22,24,US,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),1.2,1.4,39,42,26,29,12,13,1,,,,,,,Saison,,"Smooth bitterness, herbal aroma, flavors of lemon, lime and melon","Developed by Washington State University and released in 2013, Cashmere is the result of a marriage of Cascade and Northern Brewer. Fortuitously, it features alpha acids higher than that of Cascade."
,Feux-Coeur,Bittering,12,16,3.1,6,,,Australia,,,,,,,,,,,,,,,,,,Feux-Coeur Francais,,"Cheekily named Feux-Coeur (aka Feux-Coeur Francais) is an Australian bittering hop with genetic roots in Burgundian France. First harvested in 2010, the breed is considered rare and bred specifically to be grown in the cooler, southern state of Victoria. Unfortunately little has been written about its best utilization or flavor profile at this stage."
,Boadicea,Aroma,7,10,3,4,26,,UK,,1.4,2.,33,,20,,15,19,5,,,,,,,Pilsner,,Delicate aroma of orchard blossoms and grass. Subtle spicy character.,"Released in 2004, Boadicea is a finishing hop bred by Horticulture Research International. Known as the first aphid-resistant variety in the world, it also exhibits excellent resistance to wilt and downy mildew. As a dwarf/hedgerow variety, it grows to a shorter height than traditional varieties and yields just the same, making it an easier prospect to harvest."
,Whitbread Golding,"Bittering, Aroma",5,7.5,2.5,3.5,33,37,UK,Retains 66% alpha acid after 6 months storage at 20ºC (68ºF),0.8,1.22,24,27,38,42,9,13,2.1,,,,,,"Fuggle, East Kent Golding","Ale, Pale Ale, Bitter","WGV, Whitbread, Whitbread Golding Variety","Pleasant, fruity, European style aroma","Whitbread Golding enjoys a robust flavor and hoppiness particularly in comparison to other Golding varieties. With its pleasant, fruity, European-style aromatics, it has traditionally been very popular in England and is currently grown extensively for commercial, craft and home brewing use."
,Orbit,"Bittering, Aroma",4,6,4,6,25,,New Zealand,,1.5,,33,,33,,14,,2,,,,,,,,,,"Orbit is a dynamic hop blend consisting of a constantly evolving selection of hops from New Zealand’s ‘Hops with a Difference’ breeding program. The selected hops in Orbit change year to year based on an available crops quality and uniqueness. As such, no specific tasting notes are possible but usage in the past has resulted in flavors and aromas of tropical fruit."
,Comet,"Bittering, Aroma",9.4,12.4,3,6.1,41,,US,Retains 49% alpha acid after 6 months storage at 20ºC (68ºF),1.98,,67,,1,,10,,0.1,,,,,,"Galena, Summit™","Lager, American Ale, India Pale Ale, Ale",,"Strong grapefruit, dank resin flavors","Comet has an intriguing parentage of English Sunshine and a native American hop, bringing out a “wild American” flavor. Released in 1974 by the USDA, Comet was originally bred to address the needs for higher alpha hops. Today, it is no longer in commercial production and is somewhat difficult to find."
,Cekin,Aroma,6,8,2,3,24,,Slovenia,Retains 79% alpha acid after 6 months storage at 20ºC (68ºF),1.07,,47.9,,16.5,,6.2,,7.1,,,,,,,,,"European aroma, similar to Styrian hops","Like its sibling Cicero, Dr Dragica Kralj at the Hop Research Institute in Zalec, Slovenia originally selected Cekin in the 1980’s. It is a cross between Aurora and a Yugoslav male. It is not currently grown in large quantities commercially due to a lack of interest from breweries. Its vigor and yield are great in Slovenia but to date it has not proven itself in Corvallis test plots in the US. It is said to have a pleasing, distinctive and continental aroma comparable to Styrian Golding."
,Pocket Talisman,Aroma,6,,3.2,,55,,US,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),0.63,,65,70,5,,,,,,,,,,"Talisman, Cluster",,,,"Originating in Idaho, USA, Dwarf variety Pocket Talisman has proven difficult to establish with rhizomes often failing to produce bines. Originally selected from a field of regular Talisman hops in the 1970’s, the initial test plot took three years to establish due to failed rhizome growth. Once established it produces well on a low trellis but is not currently grown commercially. Little is known of its exact aroma and flavor profile but it is said to share some similarities with Cluster."
,Spalt,Aroma,2.5,5.7,3,5,22,29,Germany,Retains 50%-60% alpha acid after 6 months storage at 20ºC (68ºF),0.5,0.9,20,35,20,30,8,13,12,18,,,,,"Saaz, Tettnanger, Santiam, Liberty, Hallertau","German Ale, Lager, Pilsner, Bock, Kolsch","Spalter, Spalt Spalter, Spalter Spalt, German Spalt","Earth, spice","Surely one of the world oldest hop varieties, Splat hops date back as far as the 8th century and in the 16th century they were the first variety to be granted the German hop seal – a historically significant certification system predating the current, German Hop Provenance Law. Grown primarily in the Spalt region of Germany, it is one of the original landrace hops."
,Belma®,"Bittering, Aroma",9.4,12.1,,,,,US,,,,,,,,,,,,,,,,,"Pale Ale, Blonde, IPA",,"Notes of orange, melon, strawberry, pineapple with a hint of grapefruit","Belma® hops are a recent addition from Hops Direct and Puterbaugh Farms in the Yakima Valley. Belma has been tested as a dual-use hop and found to have an ambrosial mix of orange, melon, strawberry and pineapple with a slight hint of grapefruit. Backing that up, OSU created a Pale Malt with Belma which carried those same aroma and flavor characteristics."
,Styrian Gold,"Bittering, Aroma",3.5,6.5,3.5,5.9,28,35,Slovenia,,1.3,2.3,38,47,19,22,5,10,6,10,,,,,Styrian Golding,,,Balanced noble aroma,"Styrian Gold should not be confused with Styrian Golding (aka Savinjski Golding, technically a Fuggle-type hop). Styrian Gold is a Slovenian hop, bred from a Styrian Golding and a Slovenian wild male. It has a noble aroma and a balanced hoppiness, which in part stems from a relatively even alpha to beta acid ratio. Styrian Gold also benefits from good storage stability. It was released in 2009."
,Brewer’s Gold,Bittering,7.1,11.3,3.3,6.1,3.3,6.1,UK,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),1.96,,66.7,,11.6,,6.5,,,,,,,,"Bullion, Cascade, Galena, Northern Brewer (US), Northdown","Ale, American Pale Ale, Bitter, Barley Wine, Imperial Stout",,Notes of spice and blackcurrant,"Brewer’s Gold hops were selected by Ernest Stanley Salmon at Wye College in England in 1919 and were the result of the open pollination of a wild hop sourced from Morden, Manitoba. Despite its initial popularity, the advent of super-alpha hop varieties in the 1980’s rendered Brewer’s Gold largely redundant from a commercial perspective."
,First Gold,"Bittering, Aroma",5.6,9.3,2.3,4.1,31,36,UK,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),0.7,1.5,24,28,20,24,6,7,2,4,,,,,"Willamette, East Kent Golding, Styrian Golding","Porter, English Bitter, Wheat Beer, Celtic Ale, Summer Ale, Amber Ale, Dark Amber Ale, India Pale Ale, Imperial India Pale Ale",,"Tangerine, orange, cinnamon aroma, marmalade flavors","First Gold is a Golding variety, bred from Whitbread Golding and a dwarf variety at Wye College in England. It was released in 1996 and has the distinction of being England’s first hedgerow hop. For brewers, it is useful in just about any style."
,Rakau,"Bittering, Aroma",5.8,10.9,2.6,4.8,27,,New Zealand,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF),1.2,,44,65,15,,3,8,5,,,,,,,"Pale Ale, Lager","AlphaAroma, AlphAroma",,"Rakau, or AlphAroma as it was previously known, was developed in New Zealand. Languishing in its disease free habitat, Rakau features a high concentration of myrcene is said to pair it beautifully to dry-hopped American Pale Ales."
,Cascade (Argentina),Aroma,3.2,,4.5,7,33,40,Argentina,,,,,,,,,,,,,,,,"Hallertau, Tettnanger, East Kent Golding","Barley Wine, American Pale Ale, Kolsch, Cream Ale, Wheat, Blonde",,"Lemongrass, pepper and spice","Unlike the American Cascade, the Argentine Cascade has a mellow character with notes of lemongrass, pepper and spice. It is not considered interchangeable with the American Cascade, which has a very different profile. It is a fine aroma and finishing hop, excellent for wheat beers, blondes and has been suggested as being especially suited to lightly bittering a cream ale. Argentinian Cascade is often compared to Hallertau or Tettnanger."
,Teamaker,Aroma,0.6,1.8,5.4,13.2,,,,,,,,,,,,,,,,,,,,Pale Ale,,No bitterness whatsoever,"Developed over several decades by the USDA, Teamaker hops were officially released by the ARS Forage, Seed and Cereal Research Unit in Corvallis, Oregon in the late 2000’s. They are a unique high beta, low alpha breed that have made their mark, not just in the brewing industry, but in the world of medicine and food as well."
,Sterling,"Bittering, Aroma",4.5,9,4,6,21,28,US,Retains 60%-75% alpha acid after 6 months storage at 20ºC (68ºF),0.6,1.9,44,48,19,23,5,8,11,17,,,,,Saaz,India Pale Ale,,"Spicy, citrus aroma, herbal notes","Sterling was successfully bred to overcome Saaz’s susceptibility to mildew. Developed over 8 years in Corvallis, Oregon it was released in 1998."
